UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B2,500,Q5 Master Mix
1,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B2,500,Q5 Master Mix
2,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B2,500,Q5 Master Mix
3,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B2,500,Q5 Master Mix
4,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B2,500,Q5 Master Mix
5,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B4,500,Q5 Master Mix
6,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B4,500,Q5 Master Mix
7,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B4,500,Q5 Master Mix
8,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B4,500,Q5 Master Mix
9,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B4,500,Q5 Master Mix
10,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B6,500,Q5 Master Mix
11,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B6,500,Q5 Master Mix
12,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B6,500,Q5 Master Mix
13,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B6,500,Q5 Master Mix
14,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B6,500,Q5 Master Mix
15,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B8,500,Q5 Master Mix
16,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B8,500,Q5 Master Mix
17,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B8,500,Q5 Master Mix
18,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B8,500,Q5 Master Mix
19,Reagent_Plate,384LDV_AQ_GP,D1,PCR Plate,384 OptiAmp,B8,500,Q5 Master Mix
20,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B10,500,Q5 Master Mix
21,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B10,500,Q5 Master Mix
22,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B10,500,Q5 Master Mix
23,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B10,500,Q5 Master Mix
24,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B10,500,Q5 Master Mix
25,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B12,500,Q5 Master Mix
26,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B12,500,Q5 Master Mix
27,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B12,500,Q5 Master Mix
28,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B12,500,Q5 Master Mix
29,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B12,500,Q5 Master Mix
30,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B14,500,Q5 Master Mix
31,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B14,500,Q5 Master Mix
32,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B14,500,Q5 Master Mix
33,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B14,500,Q5 Master Mix
34,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B14,500,Q5 Master Mix
35,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B16,500,Q5 Master Mix
36,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B16,500,Q5 Master Mix
37,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B16,500,Q5 Master Mix
38,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B16,500,Q5 Master Mix
39,Reagent_Plate,384LDV_AQ_GP,D2,PCR Plate,384 OptiAmp,B16,500,Q5 Master Mix
40,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B18,500,Q5 Master Mix
41,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B18,500,Q5 Master Mix
42,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B18,500,Q5 Master Mix
43,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B18,500,Q5 Master Mix
44,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B18,500,Q5 Master Mix
45,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B20,500,Q5 Master Mix
46,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B20,500,Q5 Master Mix
47,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B20,500,Q5 Master Mix
48,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B20,500,Q5 Master Mix
49,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B20,500,Q5 Master Mix
50,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B22,500,Q5 Master Mix
51,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B22,500,Q5 Master Mix
52,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B22,500,Q5 Master Mix
53,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B22,500,Q5 Master Mix
54,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,B22,500,Q5 Master Mix
55,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,C2,500,Q5 Master Mix
56,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,C2,500,Q5 Master Mix
57,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,C2,500,Q5 Master Mix
58,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,C2,500,Q5 Master Mix
59,Reagent_Plate,384LDV_AQ_GP,D3,PCR Plate,384 OptiAmp,C2,500,Q5 Master Mix
60,Reagent_Plate,384LDV_AQ_GP,D4,PCR Plate,384 OptiAmp,C4,500,Q5 Master Mix
61,Reagent_Plate,384LDV_AQ_GP,D4,PCR Plate,384 OptiAmp,C4,500,Q5 Master Mix
62,Reagent_Plate,384LDV_AQ_GP,D4,PCR Plate,384 OptiAmp,C4,500,Q5 Master Mix
63,Reagent_Plate,384LDV_AQ_GP,D4,PCR Plate,384 OptiAmp,C4,500,Q5 Master Mix
64,Reagent_Plate,384LDV_AQ_GP,D4,PCR Plate,384 OptiAmp,C4,500,Q5 Master Mix
