UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A1,125,BsaI
1,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A2,125,BsaI
2,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A3,125,BsaI
3,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A4,125,BsaI
4,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A5,125,BsaI
5,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A6,125,BsaI
6,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A7,125,BsaI
7,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A8,125,BsaI
8,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A9,125,BsaI
9,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A10,125,BsaI
10,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A11,125,BsaI
11,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A12,125,BsaI
12,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A13,125,BsaI
13,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A14,125,BsaI
14,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A15,125,BsaI
15,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A16,125,BsaI
16,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A17,125,BsaI
17,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A18,125,BsaI
18,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A19,125,BsaI
19,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A20,125,BsaI
20,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A21,125,BsaI
21,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A22,125,BsaI
22,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A23,125,BsaI
23,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,A24,125,BsaI
24,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B1,125,BsaI
25,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B2,125,BsaI
26,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B3,125,BsaI
27,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B4,125,BsaI
28,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B5,125,BsaI
29,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B6,125,BsaI
30,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B7,125,BsaI
31,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B8,125,BsaI
32,Reagents,384LDV_AQ_SP,E1,Assembly Plate,384 OptiAmp Plate,B9,125,BsaI
