UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A1,250,pOdd1
1,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A2,250,pOdd1
2,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A3,500,pOdd1
3,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A4,250,pOdd1
4,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A5,250,pOdd1
5,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A6,500,pOdd1
6,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A7,250,pOdd1
7,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A8,250,pOdd1
8,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A9,500,pOdd1
9,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A10,250,pOdd1
10,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A11,250,pOdd1
11,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A12,500,pOdd1
12,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A13,250,pOdd1
13,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A14,250,pOdd1
14,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A15,500,pOdd1
15,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A16,250,pOdd1
16,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A17,250,pOdd1
