UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A1,125,T4 Ligase
1,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A2,125,T4 Ligase
2,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A3,125,T4 Ligase
3,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A4,125,T4 Ligase
4,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A5,125,T4 Ligase
5,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A6,125,T4 Ligase
6,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A7,125,T4 Ligase
7,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A8,125,T4 Ligase
8,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A9,125,T4 Ligase
9,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A10,125,T4 Ligase
10,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A11,125,T4 Ligase
11,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A12,125,T4 Ligase
12,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A13,125,T4 Ligase
13,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A14,125,T4 Ligase
14,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A15,125,T4 Ligase
15,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A16,125,T4 Ligase
16,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A17,125,T4 Ligase
17,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A18,125,T4 Ligase
18,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A19,125,T4 Ligase
19,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A20,125,T4 Ligase
20,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A21,125,T4 Ligase
21,Reagents,384LDV_AQ_SP,C1,Assembly Plate,384 OptiAmp Plate,A22,125,T4 Ligase
