UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E13,250,J23108
1,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E14,750,J23108
2,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E15,250,J23108
3,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E16,250,J23108
4,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E17,750,J23108
5,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E18,250,J23108
6,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E19,250,J23108
7,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E20,750,J23108
8,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E21,250,J23108
9,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E22,250,J23108
10,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E23,750,J23108
11,Example DNA Stocks,384PP_AQ_BP,A20,Assembly Plate,384 OptiAmp Plate,E24,250,J23108
12,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H13,250,J23114
13,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H14,750,J23114
14,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H15,250,J23114
15,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H16,250,J23114
16,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H17,750,J23114
17,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H18,250,J23114
18,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H19,250,J23114
19,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H20,750,J23114
20,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H21,250,J23114
21,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H22,250,J23114
22,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H23,750,J23114
23,Example DNA Stocks,384PP_AQ_BP,B2,Assembly Plate,384 OptiAmp Plate,H24,250,J23114
24,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,A7,250,B0031
25,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,A8,750,B0031
26,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,A9,250,B0031
27,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,A19,250,B0031
28,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,A20,750,B0031
29,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,A21,250,B0031
30,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,B7,250,B0031
31,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,B8,750,B0031
32,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,B9,250,B0031
33,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,B19,250,B0031
34,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,B20,750,B0031
35,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,B21,250,B0031
36,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,C7,250,B0031
37,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,C8,750,B0031
38,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,C9,250,B0031
39,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,C19,250,B0031
40,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,C20,750,B0031
41,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,C21,250,B0031
42,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,D7,250,B0031
43,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,D8,750,B0031
44,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,D9,250,B0031
45,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,D19,250,B0031
46,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,D20,750,B0031
47,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,D21,250,B0031
48,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,E7,250,B0031
49,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,E8,750,B0031
50,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,E9,250,B0031
51,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,E19,250,B0031
52,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,E20,750,B0031
53,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,E21,250,B0031
54,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,F7,250,B0031
55,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,F8,750,B0031
56,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,F9,250,B0031
57,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,F19,250,B0031
58,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,F20,750,B0031
59,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,F21,250,B0031
60,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,G7,250,B0031
61,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,G8,750,B0031
62,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,G9,250,B0031
63,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,G19,250,B0031
64,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,G20,750,B0031
65,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,G21,250,B0031
66,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,H7,250,B0031
67,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,H8,750,B0031
68,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,H9,250,B0031
69,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,H19,250,B0031
70,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,H20,750,B0031
71,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,H21,250,B0031
72,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,I7,250,B0031
73,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,I8,750,B0031
74,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,I9,250,B0031
75,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,I19,250,B0031
76,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,I20,750,B0031
77,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,I21,250,B0031
78,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,J7,250,B0031
79,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,J8,750,B0031
80,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,J9,250,B0031
81,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,J19,250,B0031
82,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,J20,750,B0031
83,Example DNA Stocks,384PP_AQ_BP,B8,Assembly Plate,384 OptiAmp Plate,J21,250,B0031
84,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,A4,250,B0030
85,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,A5,750,B0030
86,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,A6,250,B0030
87,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,A16,250,B0030
88,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,A17,750,B0030
89,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,A18,250,B0030
90,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,B4,250,B0030
91,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,B5,750,B0030
92,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,B6,250,B0030
93,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,B16,250,B0030
94,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,B17,750,B0030
95,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,B18,250,B0030
96,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,C4,250,B0030
97,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,C5,750,B0030
98,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,C6,250,B0030
99,Example DNA Stocks,384PP_AQ_BP,B7,Assembly Plate,384 OptiAmp Plate,C16,250,B0030
