UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A1,3000,Water
1,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A2,1000,Water
2,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A3,2750,Water
3,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A4,3000,Water
4,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A5,1000,Water
5,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A6,2750,Water
6,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A7,3000,Water
7,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A8,1000,Water
8,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A9,2750,Water
9,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A10,3000,Water
10,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A11,1000,Water
11,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A12,2750,Water
12,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A13,3000,Water
13,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A14,1000,Water
14,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A15,2750,Water
15,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A16,3000,Water
16,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A17,1000,Water
17,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A18,2750,Water
18,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A19,3000,Water
19,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A20,1000,Water
20,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A21,2750,Water
21,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A22,3000,Water
22,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A23,1000,Water
23,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A24,2750,Water
24,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B1,3000,Water
25,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B2,1000,Water
26,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B3,2750,Water
27,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B4,3000,Water
28,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B5,1000,Water
29,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B6,2750,Water
30,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B7,3000,Water
31,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B8,1000,Water
32,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B9,2750,Water
33,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B10,3000,Water
34,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B11,1000,Water
35,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B12,2750,Water
36,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B13,3000,Water
37,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B14,1000,Water
38,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B15,2750,Water
39,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B16,3000,Water
40,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B17,1000,Water
41,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B18,2750,Water
42,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B19,3000,Water
43,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B20,1000,Water
44,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B21,2750,Water
45,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B22,3000,Water
46,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B23,1000,Water
47,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B24,2750,Water
48,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C1,3000,Water
49,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C2,1000,Water
50,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C3,2750,Water
51,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C4,3000,Water
52,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C5,1000,Water
53,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C6,2750,Water
54,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C7,3000,Water
55,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C8,1000,Water
56,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C9,2750,Water
57,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C10,3000,Water
58,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C11,1000,Water
59,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C12,2750,Water
60,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C13,3000,Water
61,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C14,1000,Water
62,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C15,2750,Water
63,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C16,3000,Water
64,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C17,1000,Water
65,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C18,2750,Water
66,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C19,3000,Water
67,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C20,1000,Water
68,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C21,2750,Water
69,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C22,3000,Water
70,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C23,1000,Water
71,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C24,2750,Water
72,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D1,3000,Water
73,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D2,1000,Water
74,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D3,2750,Water
75,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D4,3000,Water
76,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D5,1000,Water
77,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D6,2750,Water
78,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D7,3000,Water
79,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D8,1000,Water
80,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D9,2750,Water
81,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D10,3000,Water
82,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D11,1000,Water
83,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D12,2750,Water
84,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D13,3000,Water
85,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D14,1000,Water
86,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D15,2750,Water
87,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D16,3000,Water
88,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D17,1000,Water
89,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D18,2750,Water
90,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D19,3000,Water
91,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D20,1000,Water
92,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D21,2750,Water
93,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D22,3000,Water
94,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D23,1000,Water
95,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,D24,2750,Water
96,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E1,3000,Water
97,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E2,1000,Water
98,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E3,2750,Water
99,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E4,3000,Water
100,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E5,1000,Water
101,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E6,2750,Water
102,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E7,3000,Water
103,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E8,1000,Water
104,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E9,2750,Water
105,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E10,3000,Water
106,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E11,1000,Water
107,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E12,2750,Water
108,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E13,3000,Water
109,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E14,1000,Water
110,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E15,2750,Water
111,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E16,3000,Water
112,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E17,1000,Water
113,Water and Buffer Plate,6RES_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,E18,2750,Water
