UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A1,50,Q5 Polymerase
1,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A2,50,Q5 Polymerase
2,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A3,50,Q5 Polymerase
3,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A4,50,Q5 Polymerase
4,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A5,50,Q5 Polymerase
5,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A6,50,Q5 Polymerase
6,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A7,50,Q5 Polymerase
7,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A8,50,Q5 Polymerase
8,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A9,50,Q5 Polymerase
9,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A10,50,Q5 Polymerase
10,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A11,50,Q5 Polymerase
11,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A12,50,Q5 Polymerase
12,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A13,50,Q5 Polymerase
13,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A14,50,Q5 Polymerase
14,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A15,50,Q5 Polymerase
15,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A16,50,Q5 Polymerase
16,Reagents,384LDV_AQ_SP,B1,PCR Plate,384 OptiAmp Plate,A17,50,Q5 Polymerase
