UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A1,3250,Water
1,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A2,2850,Water
2,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A3,2350,Water
3,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A4,3250,Water
4,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A5,2850,Water
5,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A6,2350,Water
6,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A7,3250,Water
7,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A8,2850,Water
8,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A9,2350,Water
9,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A10,3250,Water
10,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A11,2850,Water
11,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A12,2350,Water
12,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A13,3250,Water
13,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A14,2850,Water
14,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A15,2350,Water
15,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A16,3250,Water
16,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A17,2850,Water
17,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A18,2350,Water
18,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A19,3250,Water
19,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A20,2850,Water
20,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A21,2350,Water
21,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A22,3250,Water
22,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A23,2850,Water
23,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A24,2350,Water
24,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B1,3250,Water
25,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B2,2850,Water
26,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B3,2350,Water
27,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B4,3250,Water
28,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B5,2850,Water
29,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B6,2350,Water
30,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B7,3250,Water
31,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B8,2850,Water
32,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B9,2350,Water
33,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B10,3250,Water
34,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B11,2850,Water
35,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B12,2350,Water
