UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A1,250,pOdd1
1,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A2,250,pOdd1
2,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A3,500,pOdd1
3,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A4,250,pOdd1
4,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A5,250,pOdd1
5,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A6,500,pOdd1
6,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A7,250,pOdd1
7,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A8,250,pOdd1
8,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A9,500,pOdd1
9,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A10,250,pOdd1
10,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A11,250,pOdd1
11,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A12,500,pOdd1
12,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A13,250,pOdd1
13,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A14,250,pOdd1
14,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A15,500,pOdd1
15,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A16,250,pOdd1
16,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A17,250,pOdd1
17,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A18,500,pOdd1
18,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A19,250,pOdd1
19,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A20,250,pOdd1
20,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A21,500,pOdd1
21,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A22,250,pOdd1
22,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A23,250,pOdd1
23,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A24,500,pOdd1
24,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B1,250,pOdd1
25,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B2,250,pOdd1
26,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B3,500,pOdd1
27,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B4,250,pOdd1
28,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B5,250,pOdd1
29,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B6,500,pOdd1
30,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B7,250,pOdd1
31,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B8,250,pOdd1
32,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B9,500,pOdd1
33,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B10,250,pOdd1
34,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B11,250,pOdd1
35,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B12,500,pOdd1
36,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B13,250,pOdd1
37,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B14,250,pOdd1
38,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B15,500,pOdd1
39,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B16,250,pOdd1
40,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B17,250,pOdd1
41,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B18,500,pOdd1
42,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B19,250,pOdd1
43,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B20,250,pOdd1
44,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B21,500,pOdd1
45,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B22,250,pOdd1
46,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B23,250,pOdd1
47,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,B24,500,pOdd1
48,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C1,250,pOdd1
49,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C2,250,pOdd1
50,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C3,500,pOdd1
51,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C4,250,pOdd1
52,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C5,250,pOdd1
53,Example Plasmid Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,C6,500,pOdd1
