UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Example DNA Stocks,384PP_AQ_BP,A13,PCR Plate,384 OptiAmp Plate,A7,100,J23101
1,Example DNA Stocks,384PP_AQ_BP,A13,PCR Plate,384 OptiAmp Plate,A8,500,J23101
2,Example DNA Stocks,384PP_AQ_BP,A13,PCR Plate,384 OptiAmp Plate,A9,1000,J23101
3,Example DNA Stocks,384PP_AQ_BP,B4,PCR Plate,384 OptiAmp Plate,C4,100,J23116
4,Example DNA Stocks,384PP_AQ_BP,B4,PCR Plate,384 OptiAmp Plate,C5,500,J23116
5,Example DNA Stocks,384PP_AQ_BP,B4,PCR Plate,384 OptiAmp Plate,C6,1000,J23116
6,Example DNA Stocks,384PP_AQ_BP,A17,PCR Plate,384 OptiAmp Plate,A19,100,J23105
7,Example DNA Stocks,384PP_AQ_BP,A17,PCR Plate,384 OptiAmp Plate,A20,500,J23105
8,Example DNA Stocks,384PP_AQ_BP,A17,PCR Plate,384 OptiAmp Plate,A21,1000,J23105
9,Example DNA Stocks,384PP_AQ_BP,B1,PCR Plate,384 OptiAmp Plate,B19,100,J23113
10,Example DNA Stocks,384PP_AQ_BP,B1,PCR Plate,384 OptiAmp Plate,B20,500,J23113
11,Example DNA Stocks,384PP_AQ_BP,B1,PCR Plate,384 OptiAmp Plate,B21,1000,J23113
12,Example DNA Stocks,384PP_AQ_BP,A23,PCR Plate,384 OptiAmp Plate,B13,100,J23111
13,Example DNA Stocks,384PP_AQ_BP,A23,PCR Plate,384 OptiAmp Plate,B14,500,J23111
14,Example DNA Stocks,384PP_AQ_BP,A23,PCR Plate,384 OptiAmp Plate,B15,1000,J23111
15,Example DNA Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A1,100,J23100
16,Example DNA Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A2,500,J23100
17,Example DNA Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A3,1000,J23100
18,Example DNA Stocks,384PP_AQ_BP,A21,PCR Plate,384 OptiAmp Plate,B7,100,J23109
19,Example DNA Stocks,384PP_AQ_BP,A21,PCR Plate,384 OptiAmp Plate,B8,500,J23109
20,Example DNA Stocks,384PP_AQ_BP,A21,PCR Plate,384 OptiAmp Plate,B9,1000,J23109
21,Example DNA Stocks,384PP_AQ_BP,A18,PCR Plate,384 OptiAmp Plate,A22,100,J23106
22,Example DNA Stocks,384PP_AQ_BP,A18,PCR Plate,384 OptiAmp Plate,A23,500,J23106
23,Example DNA Stocks,384PP_AQ_BP,A18,PCR Plate,384 OptiAmp Plate,A24,1000,J23106
24,Example DNA Stocks,384PP_AQ_BP,B3,PCR Plate,384 OptiAmp Plate,C1,100,J23115
25,Example DNA Stocks,384PP_AQ_BP,B3,PCR Plate,384 OptiAmp Plate,C2,500,J23115
26,Example DNA Stocks,384PP_AQ_BP,B3,PCR Plate,384 OptiAmp Plate,C3,1000,J23115
27,Example DNA Stocks,384PP_AQ_BP,A14,PCR Plate,384 OptiAmp Plate,A10,100,J23102
28,Example DNA Stocks,384PP_AQ_BP,A14,PCR Plate,384 OptiAmp Plate,A11,500,J23102
29,Example DNA Stocks,384PP_AQ_BP,A14,PCR Plate,384 OptiAmp Plate,A12,1000,J23102
30,Example DNA Stocks,384PP_AQ_BP,A12,PCR Plate,384 OptiAmp Plate,A4,100,J23119
31,Example DNA Stocks,384PP_AQ_BP,A12,PCR Plate,384 OptiAmp Plate,A5,500,J23119
32,Example DNA Stocks,384PP_AQ_BP,A12,PCR Plate,384 OptiAmp Plate,A6,1000,J23119
33,Example DNA Stocks,384PP_AQ_BP,A16,PCR Plate,384 OptiAmp Plate,A16,100,J23104
34,Example DNA Stocks,384PP_AQ_BP,A16,PCR Plate,384 OptiAmp Plate,A17,500,J23104
35,Example DNA Stocks,384PP_AQ_BP,A16,PCR Plate,384 OptiAmp Plate,A18,1000,J23104
36,Example DNA Stocks,384PP_AQ_BP,A24,PCR Plate,384 OptiAmp Plate,B16,100,J23112
37,Example DNA Stocks,384PP_AQ_BP,A24,PCR Plate,384 OptiAmp Plate,B17,500,J23112
38,Example DNA Stocks,384PP_AQ_BP,A24,PCR Plate,384 OptiAmp Plate,B18,1000,J23112
39,Example DNA Stocks,384PP_AQ_BP,A19,PCR Plate,384 OptiAmp Plate,B1,100,J23107
40,Example DNA Stocks,384PP_AQ_BP,A19,PCR Plate,384 OptiAmp Plate,B2,500,J23107
41,Example DNA Stocks,384PP_AQ_BP,A19,PCR Plate,384 OptiAmp Plate,B3,1000,J23107
42,Example DNA Stocks,384PP_AQ_BP,B5,PCR Plate,384 OptiAmp Plate,C7,100,J23117
43,Example DNA Stocks,384PP_AQ_BP,B5,PCR Plate,384 OptiAmp Plate,C8,500,J23117
44,Example DNA Stocks,384PP_AQ_BP,B5,PCR Plate,384 OptiAmp Plate,C9,1000,J23117
45,Example DNA Stocks,384PP_AQ_BP,B6,PCR Plate,384 OptiAmp Plate,C10,100,J23118
46,Example DNA Stocks,384PP_AQ_BP,B6,PCR Plate,384 OptiAmp Plate,C11,500,J23118
47,Example DNA Stocks,384PP_AQ_BP,B6,PCR Plate,384 OptiAmp Plate,C12,1000,J23118
48,Example DNA Stocks,384PP_AQ_BP,A15,PCR Plate,384 OptiAmp Plate,A13,100,J23103
49,Example DNA Stocks,384PP_AQ_BP,A15,PCR Plate,384 OptiAmp Plate,A14,500,J23103
50,Example DNA Stocks,384PP_AQ_BP,A15,PCR Plate,384 OptiAmp Plate,A15,1000,J23103
51,Example DNA Stocks,384PP_AQ_BP,A22,PCR Plate,384 OptiAmp Plate,B10,100,J23110
52,Example DNA Stocks,384PP_AQ_BP,A22,PCR Plate,384 OptiAmp Plate,B11,500,J23110
53,Example DNA Stocks,384PP_AQ_BP,A22,PCR Plate,384 OptiAmp Plate,B12,1000,J23110
54,Example DNA Stocks,384PP_AQ_BP,A20,PCR Plate,384 OptiAmp Plate,B4,100,J23108
55,Example DNA Stocks,384PP_AQ_BP,A20,PCR Plate,384 OptiAmp Plate,B5,500,J23108
56,Example DNA Stocks,384PP_AQ_BP,A20,PCR Plate,384 OptiAmp Plate,B6,1000,J23108
57,Example DNA Stocks,384PP_AQ_BP,B2,PCR Plate,384 OptiAmp Plate,B22,100,J23114
58,Example DNA Stocks,384PP_AQ_BP,B2,PCR Plate,384 OptiAmp Plate,B23,500,J23114
59,Example DNA Stocks,384PP_AQ_BP,B2,PCR Plate,384 OptiAmp Plate,B24,1000,J23114
