UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A1,250,VF2
1,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A2,250,VF2
2,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A3,250,VF2
3,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A4,250,VF2
4,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A5,250,VF2
5,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A6,250,VF2
6,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A7,250,VF2
7,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A8,250,VF2
8,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A9,250,VF2
9,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A10,250,VF2
10,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A11,250,VF2
11,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A12,250,VF2
12,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A13,250,VF2
13,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A14,250,VF2
14,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A15,250,VF2
15,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A16,250,VF2
16,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A17,250,VF2
17,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A18,250,VF2
18,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A19,250,VF2
19,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A20,250,VF2
20,Example Primer Stocks,384PP_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A21,250,VF2
