UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G13,250,J23112
1,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G14,750,J23112
2,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G15,250,J23112
3,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G16,250,J23112
4,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G17,750,J23112
5,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G18,250,J23112
6,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G19,250,J23112
7,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G20,750,J23112
8,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G21,250,J23112
9,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G22,250,J23112
10,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G23,750,J23112
11,Example DNA Stocks,384PP_AQ_BP,A24,Assembly Plate,384 OptiAmp Plate,G24,250,J23112
12,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,A10,250,B0032
13,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,A11,750,B0032
14,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,A12,250,B0032
15,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,A22,250,B0032
16,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,A23,750,B0032
17,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,A24,250,B0032
18,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,B10,250,B0032
19,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,B11,750,B0032
20,Example DNA Stocks,384PP_AQ_BP,B9,Assembly Plate,384 OptiAmp Plate,B12,250,B0032
