UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A1,500,Q5 Master Mix
1,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A1,500,Q5 Master Mix
2,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A1,500,Q5 Master Mix
3,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A1,500,Q5 Master Mix
4,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A1,500,Q5 Master Mix
5,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A2,500,Q5 Master Mix
6,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A2,500,Q5 Master Mix
7,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A2,500,Q5 Master Mix
8,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A2,500,Q5 Master Mix
9,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A2,500,Q5 Master Mix
10,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A3,500,Q5 Master Mix
11,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A3,500,Q5 Master Mix
12,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A3,500,Q5 Master Mix
13,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A3,500,Q5 Master Mix
14,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A3,500,Q5 Master Mix
15,Reagents,384LDV_AQ_SP,F1,PCR Plate,384 OptiAmp Plate,A4,500,Q5 Master Mix
16,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A4,500,Q5 Master Mix
17,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A4,500,Q5 Master Mix
18,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A4,500,Q5 Master Mix
19,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A4,500,Q5 Master Mix
20,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A5,500,Q5 Master Mix
21,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A5,500,Q5 Master Mix
22,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A5,500,Q5 Master Mix
23,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A5,500,Q5 Master Mix
24,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A5,500,Q5 Master Mix
25,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A6,500,Q5 Master Mix
26,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A6,500,Q5 Master Mix
27,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A6,500,Q5 Master Mix
28,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A6,500,Q5 Master Mix
29,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A6,500,Q5 Master Mix
30,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A7,500,Q5 Master Mix
31,Reagents,384LDV_AQ_SP,F2,PCR Plate,384 OptiAmp Plate,A7,500,Q5 Master Mix
32,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A7,500,Q5 Master Mix
33,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A7,500,Q5 Master Mix
34,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A7,500,Q5 Master Mix
35,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A8,500,Q5 Master Mix
36,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A8,500,Q5 Master Mix
37,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A8,500,Q5 Master Mix
38,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A8,500,Q5 Master Mix
39,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A8,500,Q5 Master Mix
40,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A9,500,Q5 Master Mix
41,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A9,500,Q5 Master Mix
42,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A9,500,Q5 Master Mix
43,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A9,500,Q5 Master Mix
44,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A9,500,Q5 Master Mix
45,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A10,500,Q5 Master Mix
46,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A10,500,Q5 Master Mix
47,Reagents,384LDV_AQ_SP,F3,PCR Plate,384 OptiAmp Plate,A10,500,Q5 Master Mix
48,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A10,500,Q5 Master Mix
49,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A10,500,Q5 Master Mix
50,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A11,500,Q5 Master Mix
51,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A11,500,Q5 Master Mix
52,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A11,500,Q5 Master Mix
53,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A11,500,Q5 Master Mix
54,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A11,500,Q5 Master Mix
55,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A12,500,Q5 Master Mix
56,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A12,500,Q5 Master Mix
57,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A12,500,Q5 Master Mix
58,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A12,500,Q5 Master Mix
59,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A12,500,Q5 Master Mix
60,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A13,500,Q5 Master Mix
61,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A13,500,Q5 Master Mix
62,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A13,500,Q5 Master Mix
63,Reagents,384LDV_AQ_SP,F4,PCR Plate,384 OptiAmp Plate,A13,500,Q5 Master Mix
64,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A13,500,Q5 Master Mix
65,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A14,500,Q5 Master Mix
66,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A14,500,Q5 Master Mix
67,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A14,500,Q5 Master Mix
68,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A14,500,Q5 Master Mix
69,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A14,500,Q5 Master Mix
70,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A15,500,Q5 Master Mix
71,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A15,500,Q5 Master Mix
72,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A15,500,Q5 Master Mix
73,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A15,500,Q5 Master Mix
74,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A15,500,Q5 Master Mix
75,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A16,500,Q5 Master Mix
76,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A16,500,Q5 Master Mix
77,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A16,500,Q5 Master Mix
78,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A16,500,Q5 Master Mix
79,Reagents,384LDV_AQ_SP,F5,PCR Plate,384 OptiAmp Plate,A16,500,Q5 Master Mix
80,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A17,500,Q5 Master Mix
81,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A17,500,Q5 Master Mix
82,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A17,500,Q5 Master Mix
83,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A17,500,Q5 Master Mix
84,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A17,500,Q5 Master Mix
85,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A18,500,Q5 Master Mix
86,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A18,500,Q5 Master Mix
87,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A18,500,Q5 Master Mix
88,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A18,500,Q5 Master Mix
89,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A18,500,Q5 Master Mix
90,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A19,500,Q5 Master Mix
91,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A19,500,Q5 Master Mix
92,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A19,500,Q5 Master Mix
93,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A19,500,Q5 Master Mix
94,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A19,500,Q5 Master Mix
95,Reagents,384LDV_AQ_SP,F6,PCR Plate,384 OptiAmp Plate,A20,500,Q5 Master Mix
96,Reagents,384LDV_AQ_SP,F7,PCR Plate,384 OptiAmp Plate,A20,500,Q5 Master Mix
97,Reagents,384LDV_AQ_SP,F7,PCR Plate,384 OptiAmp Plate,A20,500,Q5 Master Mix
98,Reagents,384LDV_AQ_SP,F7,PCR Plate,384 OptiAmp Plate,A20,500,Q5 Master Mix
99,Reagents,384LDV_AQ_SP,F7,PCR Plate,384 OptiAmp Plate,A20,500,Q5 Master Mix
100,Reagents,384LDV_AQ_SP,F7,PCR Plate,384 OptiAmp Plate,A21,500,Q5 Master Mix
101,Reagents,384LDV_AQ_SP,F7,PCR Plate,384 OptiAmp Plate,A21,500,Q5 Master Mix
