UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A1,1900,Water
1,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A2,1500,Water
2,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A3,1000,Water
3,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A4,1900,Water
4,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A5,1500,Water
5,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A6,1000,Water
6,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A7,1900,Water
7,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A8,1500,Water
8,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A9,1000,Water
9,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A10,1900,Water
10,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A11,1500,Water
11,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A12,1000,Water
12,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A13,1900,Water
13,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A14,1500,Water
14,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A15,1000,Water
15,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A16,1900,Water
16,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A17,1500,Water
17,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A18,1000,Water
18,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A19,1900,Water
19,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A20,1500,Water
20,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A21,1000,Water
21,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A22,1900,Water
22,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A23,1500,Water
23,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,A24,1000,Water
24,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B1,1900,Water
25,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B2,1500,Water
26,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B3,1000,Water
27,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B4,1900,Water
28,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B5,1500,Water
29,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B6,1000,Water
30,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B7,1900,Water
31,Water and Buffer Plate,6RES_AQ_BP,A1,PCR Plate,384 OptiAmp Plate,B8,1500,Water
