UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I13,250,J23116
1,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I14,750,J23116
2,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I15,250,J23116
3,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I16,250,J23116
4,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I17,750,J23116
5,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I18,250,J23116
6,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I19,250,J23116
7,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I20,750,J23116
8,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I21,250,J23116
9,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I22,250,J23116
10,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I23,750,J23116
11,Example DNA Stocks,384PP_AQ_BP,B4,Assembly Plate,384 OptiAmp Plate,I24,250,J23116
12,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A1,250,J23100
13,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A2,750,J23100
14,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A3,250,J23100
15,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A4,250,J23100
16,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A5,750,J23100
17,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A6,250,J23100
18,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A7,250,J23100
19,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A8,750,J23100
20,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A9,250,J23100
21,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A10,250,J23100
22,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A11,750,J23100
23,Example DNA Stocks,384PP_AQ_BP,A1,Assembly Plate,384 OptiAmp Plate,A12,250,J23100
24,Example DNA Stocks,384PP_AQ_BP,A3,Assembly Plate,384 OptiAmp Plate,A1,250,GFP
25,Example DNA Stocks,384PP_AQ_BP,A3,Assembly Plate,384 OptiAmp Plate,A2,750,GFP
26,Example DNA Stocks,384PP_AQ_BP,A3,Assembly Plate,384 OptiAmp Plate,A3,250,GFP
27,Example DNA Stocks,384PP_AQ_BP,A3,Assembly Plate,384 OptiAmp Plate,A4,250,GFP
28,Example DNA Stocks,384PP_AQ_BP,A3,Assembly Plate,384 OptiAmp Plate,A5,750,GFP
