UID,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume,Reagent
0,Example DNA Stocks,384PP_AQ_BP,A19,PCR Plate,384 OptiAmp Plate,B1,100,J23107
1,Example DNA Stocks,384PP_AQ_BP,A19,PCR Plate,384 OptiAmp Plate,B2,500,J23107
2,Example DNA Stocks,384PP_AQ_BP,A19,PCR Plate,384 OptiAmp Plate,B3,1000,J23107
3,Example DNA Stocks,384PP_AQ_BP,A24,PCR Plate,384 OptiAmp Plate,B16,100,J23112
4,Example DNA Stocks,384PP_AQ_BP,A24,PCR Plate,384 OptiAmp Plate,B17,500,J23112
5,Example DNA Stocks,384PP_AQ_BP,A24,PCR Plate,384 OptiAmp Plate,B18,1000,J23112
6,Example DNA Stocks,384PP_AQ_BP,A13,PCR Plate,384 OptiAmp Plate,A7,100,J23101
7,Example DNA Stocks,384PP_AQ_BP,A13,PCR Plate,384 OptiAmp Plate,A8,500,J23101
8,Example DNA Stocks,384PP_AQ_BP,A13,PCR Plate,384 OptiAmp Plate,A9,1000,J23101
9,Example DNA Stocks,384PP_AQ_BP,B4,PCR Plate,384 OptiAmp Plate,C4,100,J23116
10,Example DNA Stocks,384PP_AQ_BP,B4,PCR Plate,384 OptiAmp Plate,C5,500,J23116
11,Example DNA Stocks,384PP_AQ_BP,B4,PCR Plate,384 OptiAmp Plate,C6,1000,J23116
12,Example DNA Stocks,384PP_AQ_BP,B6,PCR Plate,384 OptiAmp Plate,C10,100,J23118
13,Example DNA Stocks,384PP_AQ_BP,B6,PCR Plate,384 OptiAmp Plate,C11,500,J23118
14,Example DNA Stocks,384PP_AQ_BP,B6,PCR Plate,384 OptiAmp Plate,C12,1000,J23118
15,Example DNA Stocks,384PP_AQ_BP,B5,PCR Plate,384 OptiAmp Plate,C7,100,J23117
16,Example DNA Stocks,384PP_AQ_BP,B5,PCR Plate,384 OptiAmp Plate,C8,500,J23117
17,Example DNA Stocks,384PP_AQ_BP,B5,PCR Plate,384 OptiAmp Plate,C9,1000,J23117
18,Example DNA Stocks,384PP_AQ_BP,A12,PCR Plate,384 OptiAmp Plate,A4,100,J23119
19,Example DNA Stocks,384PP_AQ_BP,A12,PCR Plate,384 OptiAmp Plate,A5,500,J23119
20,Example DNA Stocks,384PP_AQ_BP,A12,PCR Plate,384 OptiAmp Plate,A6,1000,J23119
21,Example DNA Stocks,384PP_AQ_BP,B1,PCR Plate,384 OptiAmp Plate,B19,100,J23113
22,Example DNA Stocks,384PP_AQ_BP,B1,PCR Plate,384 OptiAmp Plate,B20,500,J23113
23,Example DNA Stocks,384PP_AQ_BP,B1,PCR Plate,384 OptiAmp Plate,B21,1000,J23113
24,Example DNA Stocks,384PP_AQ_BP,A15,PCR Plate,384 OptiAmp Plate,A13,100,J23103
25,Example DNA Stocks,384PP_AQ_BP,A15,PCR Plate,384 OptiAmp Plate,A14,500,J23103
26,Example DNA Stocks,384PP_AQ_BP,A15,PCR Plate,384 OptiAmp Plate,A15,1000,J23103
27,Example DNA Stocks,384PP_AQ_BP,B3,PCR Plate,384 OptiAmp Plate,C1,100,J23115
28,Example DNA Stocks,384PP_AQ_BP,B3,PCR Plate,384 OptiAmp Plate,C2,500,J23115
29,Example DNA Stocks,384PP_AQ_BP,B3,PCR Plate,384 OptiAmp Plate,C3,1000,J23115
30,Example DNA Stocks,384PP_AQ_BP,A17,PCR Plate,384 OptiAmp Plate,A19,100,J23105
31,Example DNA Stocks,384PP_AQ_BP,A17,PCR Plate,384 OptiAmp Plate,A20,500,J23105
32,Example DNA Stocks,384PP_AQ_BP,A17,PCR Plate,384 OptiAmp Plate,A21,1000,J23105
33,Example DNA Stocks,384PP_AQ_BP,A14,PCR Plate,384 OptiAmp Plate,A10,100,J23102
34,Example DNA Stocks,384PP_AQ_BP,A14,PCR Plate,384 OptiAmp Plate,A11,500,J23102
35,Example DNA Stocks,384PP_AQ_BP,A14,PCR Plate,384 OptiAmp Plate,A12,1000,J23102
